Date,Total_Accidents
07-05-2008,479
07-05-2009,378
07-05-2011,424
07-05-2013,487
07-05-2015,341
08-05-2006,475
08-05-2007,475
08-05-2008,527
08-05-2010,395
08-05-2011,422
08-05-2012,295
08-05-2013,418
08-05-2015,351
09-05-2006,499
09-05-2008,648
09-05-2010,339
09-05-2012,489
09-05-2014,397
09-05-2015,332
10-05-2005,531
10-05-2006,700
10-05-2008,422
10-05-2010,433
10-05-2012,530
10-05-2014,328
11-05-2005,612
11-05-2006,416
11-05-2009,585
11-05-2010,644
11-05-2014,464
12-05-2005,606
12-05-2007,609
12-05-2009,484
12-05-2010,339
12-05-2011,484
12-05-2013,452
12-05-2014,554
01-06-2005,553
01-06-2006,496
01-06-2008,357
01-06-2010,266
01-06-2012,442
01-06-2014,359
02-06-2005,360
02-06-2006,540
02-06-2009,416
02-06-2010,356
02-06-2012,339
02-06-2013,400
02-06-2014,452
03-06-2005,404
03-06-2007,542
03-06-2009,546
03-06-2011,283
03-06-2013,349
03-06-2014,391
04-06-2005,539
04-06-2007,474
04-06-2009,405
04-06-2011,525
04-06-2013,297
04-06-2015,352
05-06-2007,394
05-06-2008,555
05-06-2009,399
05-06-2011,466
05-06-2013,342
05-06-2015,401
06-06-2006,538
06-06-2007,531
06-06-2008,522
06-06-2010,317
06-06-2011,461
06-06-2012,397
06-06-2013,460
06-06-2015,381
07-06-2006,549
07-06-2008,418
07-06-2010,428
07-06-2011,472
07-06-2012,470
07-06-2014,329
07-06-2015,409
08-06-2005,454
08-06-2006,407
08-06-2008,448
08-06-2010,443
08-06-2012,413
08-06-2014,420
09-06-2005,502
09-06-2006,506
09-06-2009,318
09-06-2010,454
09-06-2012,500
09-06-2014,336
10-06-2005,543
10-06-2007,410
10-06-2009,680
10-06-2010,506
10-06-2013,355
10-06-2014,531
11-06-2005,427
11-06-2007,612
11-06-2009,621
11-06-2011,328
11-06-2013,480
11-06-2014,427
11-06-2015,495
12-06-2005,682
12-06-2007,678
12-06-2008,535
12-06-2009,353
12-06-2011,552
12-06-2013,478
12-06-2015,293
01-07-2005,510
01-07-2006,371
01-07-2008,454
01-07-2009,363
01-07-2010,284
01-07-2012,259
01-07-2014,395
02-07-2005,561
02-07-2007,581
02-07-2009,375
02-07-2010,229
02-07-2013,393
02-07-2014,508
03-07-2005,433
03-07-2007,524
03-07-2009,391
03-07-2011,437
03-07-2013,402
03-07-2014,487
04-07-2005,544
04-07-2007,451
04-07-2009,420
04-07-2011,464
04-07-2013,237
