Date,Total_Accidents
20-10-2006,712
20-10-2009,505
20-10-2010,545
20-10-2012,381
20-10-2014,406
20-11-2005,484
20-11-2007,629
20-11-2009,597
20-11-2011,301
20-11-2013,450
20-11-2014,453
20-12-2005,619
20-12-2007,582
20-12-2009,358
20-12-2011,420
20-12-2013,617
20-12-2014,303
20-12-2015,296
21-01-2005,595
21-01-2007,364
21-01-2009,613
21-01-2010,418
21-01-2011,475
21-01-2012,312
21-01-2013,237
21-01-2014,426
21-02-2005,520
21-02-2007,431
21-02-2009,422
21-02-2011,351
21-02-2013,264
21-02-2015,346
21-03-2005,440
21-03-2007,530
21-03-2009,431
21-03-2010,314
21-03-2011,403
21-03-2013,334
21-03-2014,495
21-04-2005,540
21-04-2007,479
21-04-2009,459
21-04-2011,488
21-04-2013,275
21-04-2015,412
21-05-2005,613
21-05-2007,483
21-05-2009,520
21-05-2011,402
21-05-2013,360
21-05-2015,412
21-06-2006,510
21-06-2008,481
21-06-2010,476
21-06-2011,391
21-06-2012,449
21-06-2013,456
21-06-2014,407
21-06-2015,300
21-07-2006,616
21-07-2008,492
21-07-2010,514
21-07-2011,436
21-07-2012,367
21-07-2014,402
21-07-2015,434
21-08-2005,452
21-08-2006,457
21-08-2008,451
21-08-2010,398
21-08-2012,393
21-08-2014,379
21-09-2005,520
21-09-2007,558
21-09-2009,422
21-09-2010,456
21-09-2013,321
21-09-2014,346
21-10-2005,822
21-10-2007,383
21-10-2009,584
21-10-2010,483
21-10-2013,472
21-10-2014,411
21-11-2005,673
21-11-2007,604
21-11-2008,492
21-11-2009,447
21-11-2011,430
21-11-2013,406
21-11-2015,398
21-12-2005,624
21-12-2007,598
21-12-2008,275
21-12-2009,394
21-12-2011,350
21-12-2013,372
21-12-2015,410
22-01-2005,533
22-01-2007,587
22-01-2009,443
22-01-2011,311
22-01-2013,294
22-01-2014,408
22-01-2015,383
22-02-2005,521
22-02-2007,548
22-02-2009,251
22-02-2011,332
22-02-2013,286
22-02-2015,261
22-03-2005,534
22-03-2007,510
22-03-2009,326
22-03-2011,421
22-03-2013,402
22-03-2014,348
22-03-2015,262
22-04-2005,607
22-04-2007,379
22-04-2008,412
22-04-2009,488
22-04-2011,391
22-04-2013,331
22-04-2015,438
22-05-2006,592
22-05-2008,449
22-05-2009,557
22-05-2011,301
22-05-2013,350
22-05-2015,388
22-06-2006,476
22-06-2008,398
22-06-2010,549
22-06-2012,435
22-06-2014,353
22-06-2015,418
22-07-2006,513
22-07-2008,410
22-07-2010,433
22-07-2012,335
22-07-2014,474
22-07-2015,377
22-08-2005,642
22-08-2008,485
22-08-2009,438
22-08-2010,376
22-08-2012,366
22-08-2014,449
22-09-2005,540
22-09-2007,433
22-09-2009,488
22-09-2011,434
22-09-2013,289
22-09-2014,434
22-10-2005,526
22-10-2007,393
22-10-2009,528
22-10-2011,392
22-10-2013,447
22-10-2015,384
22-11-2006,648
22-11-2007,572
22-11-2008,415
22-11-2009,382
22-11-2011,435
22-11-2012,512
22-11-2013,492
22-11-2015,266
22-12-2006,648
22-12-2007,466
22-12-2008,483
22-12-2009,355
22-12-2011,419
22-12-2012,387
22-12-2013,270
22-12-2015,403
23-01-2005,490
23-01-2007,551
23-01-2009,528
23-01-2011,201
23-01-2013,277
23-01-2015,496
23-02-2006,559
23-02-2008,424
23-02-2009,361
23-02-2012,502
23-02-2013,242
23-02-2015,388
23-03-2005,529
23-03-2007,527
23-03-2008,295
23-03-2009,417
23-03-2011,444
23-03-2013,297
23-03-2015,366
23-04-2006,394
23-04-2008,544
23-04-2009,455
23-04-2010,529
23-04-2011,370
23-04-2012,384
23-04-2013,404
23-04-2015,436
23-05-2006,505
23-05-2008,505
23-05-2010,471
23-05-2012,451
23-05-2013,406
23-05-2014,481
23-05-2015,336
23-06-2006,559
23-06-2008,471
23-06-2010,533
23-06-2012,343
23-06-2014,449
23-07-2005,427
23-07-2006,417
23-07-2008,427
23-07-2010,475
23-07-2012,517
23-07-2014,465
23-08-2005,537
23-08-2007,508
23-08-2009,343
23-08-2011,388
23-08-2013,412
23-08-2014,369
23-09-2005,702
23-09-2007,431
23-09-2009,427
23-09-2011,479
23-09-2013,414
23-09-2015,443
23-10-2005,383
23-10-2007,518
23-10-2008,481
23-10-2009,543
23-10-2011,298
23-10-2013,438
23-10-2015,388
23-11-2006,681
23-11-2008,389
23-11-2010,500
23-11-2011,449
23-11-2012,527
23-11-2013,353
23-11-2015,421
23-12-2006,441
23-12-2008,387
23-12-2010,341
23-12-2012,251
23-12-2013,409
23-12-2015,428
24-01-2006,508
24-01-2008,503
24-01-2009,518
24-01-2011,385
24-01-2013,329
24-01-2015,393
24-02-2006,549
24-02-2008,309
24-02-2010,436
24-02-2012,462
24-02-2014,377
24-03-2006,677
24-03-2008,288
24-03-2009,453
24-03-2011,444
24-03-2012,385
24-03-2013,180
24-03-2015,401
24-04-2006,428
24-04-2008,520
24-04-2010,419
24-04-2012,398
24-04-2014,409
24-04-2015,435
24-05-2006,532
24-05-2008,417
24-05-2010,517
24-05-2012,481
24-05-2014,353
24-06-2005,735
24-06-2007,452
24-06-2008,465
24-06-2009,508
24-06-2010,483
24-06-2012,315
24-06-2014,460
24-07-2005,531
24-07-2007,521
24-07-2009,501
24-07-2010,371
24-07-2012,493
24-07-2013,433
24-07-2014,481
24-08-2005,631
24-08-2007,545
24-08-2009,389
24-08-2011,419
24-08-2013,388
24-08-2015,401
24-09-2006,433
24-09-2007,615
24-09-2008,492
24-09-2009,578
24-09-2011,355
24-09-2012,483
24-09-2013,389
24-09-2015,452
24-10-2006,582
24-10-2007,390
24-10-2008,607
24-10-2009,517
24-10-2011,371
24-10-2012,405
24-10-2013,502
24-10-2015,357
24-11-2006,662
24-11-2008,523
24-11-2010,497
24-11-2012,385
24-11-2014,502
24-12-2006,368
24-12-2008,306
24-12-2010,362
24-12-2012,324
24-12-2014,348
25-01-2006,547
25-01-2008,481
25-01-2010,346
25-01-2012,423
25-01-2013,408
25-01-2015,248
25-02-2006,441
25-02-2008,545
25-02-2010,437
25-02-2012,371
25-02-2014,419
25-03-2006,557
25-03-2008,402
25-03-2010,452
25-03-2012,326
25-03-2013,251
25-03-2015,420
25-04-2006,481
25-04-2008,471
25-04-2010,305
25-04-2012,442
25-04-2014,461
25-05-2005,558
25-05-2006,515
25-05-2007,592
25-05-2008,388
25-05-2010,462
25-05-2012,612
25-05-2014,338
25-06-2005,483
25-06-2007,552
25-06-2009,454
25-06-2011,369
25-06-2012,398
25-06-2013,413
25-06-2014,483
25-07-2005,503
25-07-2007,500
25-07-2009,432
25-07-2011,421
25-07-2013,395
25-08-2006,567
25-08-2007,482
25-08-2009,462
25-08-2011,435
25-08-2013,298
25-08-2015,415
25-09-2006,555
25-09-2008,446
25-09-2010,436
25-09-2011,312
25-09-2012,491
25-09-2013,371
25-09-2015,472
25-10-2006,549
25-10-2008,408
25-10-2010,487
25-10-2012,410
25-10-2013,512
25-10-2014,366
25-10-2015,305
25-11-2005,673
25-11-2006,513
25-11-2008,613
25-11-2010,470
25-11-2012,309
25-11-2014,510
25-12-2005,199
25-12-2006,175
25-12-2008,118
25-12-2010,168
25-12-2012,144
25-12-2014,128
26-01-2006,510
26-01-2008,400
26-01-2010,383
26-01-2012,432
26-01-2014,240
26-02-2005,500
26-02-2006,326
26-02-2007,449
26-02-2008,499
26-02-2010,471
26-02-2011,370
26-02-2012,228
26-02-2014,428
26-03-2006,408
26-03-2008,442
26-03-2010,506
26-03-2012,485
26-03-2014,381
26-04-2005,577
26-04-2007,506
26-04-2008,477
26-04-2010,443
26-04-2012,426
26-04-2014,329
26-05-2005,586
26-05-2007,513
26-05-2008,360
26-05-2009,469
26-05-2010,441
26-05-2011,473
26-05-2012,527
26-05-2014,299
26-06-2005,457
26-06-2007,490
26-06-2009,523
26-06-2011,439
26-06-2013,384
26-06-2015,462
26-07-2005,471
26-07-2007,558
26-07-2009,307
26-07-2011,410
26-07-2013,485
26-07-2015,359
26-08-2006,455
26-08-2007,431
26-08-2008,421
26-08-2010,500
26-08-2011,550
26-08-2012,271
26-08-2013,334
26-08-2015,407
26-09-2006,567
26-09-2008,577
26-09-2010,342
26-09-2012,493
26-09-2014,434
26-09-2015,369
26-10-2006,542
26-10-2008,391
26-10-2010,500
26-10-2012,431
26-10-2014,268
26-11-2005,533
26-11-2006,412
26-11-2007,500
26-11-2009,519
26-11-2010,571
26-11-2012,464
26-11-2014,481
26-12-2005,312
26-12-2007,256
26-12-2009,224
26-12-2010,213
26-12-2011,164
26-12-2012,219
26-12-2014,265
27-01-2005,607
27-01-2006,650
27-01-2007,514
27-01-2008,358
27-01-2010,409
27-01-2012,535
27-01-2014,428
27-02-2005,369
27-02-2007,485
27-02-2008,467
27-02-2009,475
27-02-2011,292
27-02-2012,357
27-02-2013,403
27-02-2014,420
27-02-2015,435
27-03-2005,334
27-03-2006,502
27-03-2007,521
27-03-2008,475
27-03-2010,372
27-03-2012,502
27-03-2014,425
27-04-2005,665
27-04-2007,526
27-04-2009,559
27-04-2011,476
27-04-2012,460
27-04-2013,352
27-04-2014,293
27-05-2005,671
27-05-2007,521
27-05-2009,375
27-05-2011,448
27-05-2013,300
27-05-2015,348
27-06-2006,448
27-06-2007,522
27-06-2009,435
27-06-2011,472
27-06-2013,480
27-06-2015,364
27-07-2006,510
27-07-2007,494
27-07-2008,450
27-07-2011,410
27-07-2013,360
27-07-2015,391
27-08-2006,414
27-08-2008,397
27-08-2010,436
27-08-2011,395
27-08-2012,272
27-08-2014,353
27-08-2015,377
27-09-2005,590
27-09-2006,487
27-09-2008,502
27-09-2010,467
27-09-2012,455
27-09-2014,351
27-10-2005,675
27-10-2006,610
27-10-2010,467
27-10-2012,450
27-10-2014,393
27-11-2005,439
27-11-2007,548
27-11-2009,621
27-11-2011,290
27-11-2013,509
27-11-2014,423
27-11-2015,492
27-12-2005,408
27-12-2007,286
27-12-2009,236
27-12-2011,221
27-12-2013,234
27-12-2015,259
28-01-2005,650
28-01-2007,344
28-01-2008,458
28-01-2009,498
28-01-2010,409
28-01-2011,469
28-01-2012,390
28-01-2014,416
28-02-2005,540
28-02-2007,506
28-02-2009,325
28-02-2011,377
28-02-2012,422
28-02-2013,407
28-02-2015,327
28-03-2005,391
28-03-2007,457
28-03-2009,416
28-03-2010,315
28-03-2011,384
28-03-2012,493
28-03-2014,411
28-04-2005,504
28-04-2007,469
28-04-2009,427
28-04-2011,492
28-04-2013,235
28-04-2015,439
28-05-2005,518
28-05-2007,442
28-05-2009,425
28-05-2011,344
28-05-2013,370
28-05-2015,361
28-06-2006,557
28-06-2007,514
28-06-2008,393
28-06-2010,516
28-06-2011,402
28-06-2013,540
28-06-2015,304
28-07-2006,580
28-07-2007,483
28-07-2008,445
28-07-2010,456
28-07-2011,394
28-07-2012,389
28-07-2014,376
28-07-2015,357
28-08-2005,423
28-08-2006,416
28-08-2008,441
28-08-2010,424
28-08-2012,449
28-08-2014,400
28-09-2005,656
28-09-2006,527
28-09-2007,679
28-09-2009,396
28-09-2010,424
28-09-2012,469
28-09-2014,297
28-10-2005,649
28-10-2007,491
28-10-2009,475
28-10-2010,401
28-10-2011,538
28-10-2014,491
28-11-2005,647
28-11-2007,592
28-11-2009,507
28-11-2011,413
28-11-2013,493
28-11-2015,413
28-12-2005,361
28-12-2007,328
28-12-2009,269
28-12-2011,268
28-12-2013,251
28-12-2015,202
29-01-2005,528
29-01-2007,561
29-01-2009,370
29-01-2011,319
29-01-2012,258
29-01-2013,383
29-01-2015,473
29-03-2005,452
29-03-2007,503
29-03-2009,340
29-03-2011,406
29-03-2013,288
29-03-2015,245
29-04-2005,716
29-04-2006,500
29-04-2007,373
29-04-2009,481
29-04-2011,290
29-04-2013,392
29-04-2015,411
29-05-2006,359
29-05-2007,529
29-05-2009,524
29-05-2011,285
29-05-2013,322
29-05-2015,370
29-06-2006,548
29-06-2008,377
29-06-2010,496
29-06-2011,456
29-06-2012,437
29-06-2014,332
29-06-2015,427
29-07-2006,497
29-07-2008,494
29-07-2010,434
29-07-2012,336
29-07-2014,423
29-07-2015,381
29-08-2005,477
29-08-2006,547
29-08-2009,402
29-08-2010,361
29-08-2012,387
29-08-2014,436
29-09-2005,612
29-09-2007,492
29-09-2009,495
29-09-2010,597
29-09-2011,582
29-09-2013,295
29-09-2014,398
29-10-2005,502
29-10-2007,610
29-10-2009,409
29-10-2011,382
29-10-2013,432
29-10-2014,432
29-10-2015,444
29-11-2005,641
29-11-2007,611
29-11-2008,426
29-11-2009,437
29-11-2011,494
29-11-2013,501
29-11-2015,302
29-12-2005,292
29-12-2006,349
29-12-2007,316
29-12-2008,265
29-12-2009,266
29-12-2011,254
29-12-2013,295
29-12-2015,301
30-01-2005,398
30-01-2007,497
30-01-2009,477
30-01-2011,255
30-01-2013,348
30-01-2015,469
30-03-2005,478
30-03-2007,509
30-03-2009,381
30-03-2011,454
30-03-2013,264
30-03-2015,336
30-04-2006,365
30-04-2007,568
30-04-2008,486
30-04-2010,530
30-04-2011,399
30-04-2013,390
30-04-2015,411
30-05-2006,514
30-05-2007,492
30-05-2008,435
30-05-2010,357
30-05-2011,355
30-05-2012,492
30-05-2014,355
30-05-2015,334
30-06-2005,605
30-06-2006,625
30-06-2008,465
30-06-2010,451
30-06-2012,386
30-06-2014,395
30-06-2015,499
30-07-2005,527
30-07-2006,430
30-07-2008,440
30-07-2009,449
30-07-2010,474
30-07-2012,411
30-07-2014,425
30-08-2005,576
30-08-2007,422
30-08-2009,334
30-08-2010,367
30-08-2013,407
30-08-2014,317
30-09-2005,749
30-09-2007,345
30-09-2009,476
30-09-2011,552
30-09-2013,399
30-09-2015,488
30-10-2005,469
30-10-2007,529
30-10-2008,502
30-10-2009,476
30-10-2011,328
30-10-2013,445
30-10-2015,443
30-11-2006,517
30-11-2008,348
30-11-2009,569
30-11-2010,409
30-11-2011,468
30-11-2012,532
30-11-2013,386
30-11-2015,473
30-12-2006,347
30-12-2008,312
30-12-2010,186
30-12-2011,326
30-12-2012,213
30-12-2013,242
30-12-2014,277
30-12-2015,270
31-01-2005,569
31-01-2006,564
31-01-2007,697
31-01-2009,412
31-01-2011,444
31-01-2013,393
31-01-2015,334
31-03-2005,402
31-03-2006,601
31-03-2007,457
31-03-2008,425
31-03-2009,403
31-03-2011,500
31-03-2013,202
31-03-2015,376
31-05-2006,505
31-05-2008,415
31-05-2010,291
31-05-2012,440
31-05-2014,342
31-05-2015,277
31-07-2005,438
31-07-2006,593
31-07-2009,524
31-07-2010,422
31-07-2012,386
31-07-2013,384
31-07-2014,395
31-08-2005,556
31-08-2007,474
31-08-2009,325
31-08-2011,346
31-08-2013,373
31-08-2014,352
31-08-2015,303
31-10-2005,572
31-10-2006,582
31-10-2008,633
31-10-2009,519
31-10-2011,475
31-10-2012,463
31-10-2013,393
31-10-2015,364
31-12-2006,253
31-12-2008,268
31-12-2010,205
31-12-2012,257
31-12-2014,223
31-12-2015,323
